"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"3615","x","y","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3616","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3617","x","f","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3618","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3619","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3620","x","y","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3621","f","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3622","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3624","f","f","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3625","x","f","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3626","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3627","f","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3628","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3629","f","y","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3630","f","y","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3631","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3632","x","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3633","x","s","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3634","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3635","f","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3636","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3637","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3638","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3639","f","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3640","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3641","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3642","f","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3643","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3644","f","y","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3645","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3646","f","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3647","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3648","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3649","x","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3650","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3651","f","y","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3652","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3653","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3655","f","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3656","f","y","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3657","x","f","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3658","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3659","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3660","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3661","x","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3662","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3664","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3665","f","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3666","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3667","f","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3668","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3669","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3671","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3672","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3673","f","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3674","f","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3675","f","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3677","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3678","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3679","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3680","x","s","p","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3681","f","y","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3682","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3683","f","y","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3684","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3685","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3686","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3687","x","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3688","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3690","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3691","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3693","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3694","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3695","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3697","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","v","e"
"3698","x","s","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3699","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3700","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3701","x","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3703","f","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3706","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3707","f","f","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3708","x","f","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3709","x","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3712","f","f","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3713","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3715","f","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3717","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","e"
"3718","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3720","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3721","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3724","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3725","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3726","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3727","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3728","f","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","e"
"3729","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3730","f","f","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3731","f","f","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3734","f","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3735","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3736","f","y","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3737","f","y","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3738","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3739","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3740","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3741","x","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3743","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3745","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3746","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3748","f","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3750","f","y","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3751","x","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3752","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3753","f","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3754","x","s","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3755","x","f","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3757","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3758","f","f","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3760","f","f","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3761","f","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3762","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3763","f","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3764","f","f","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3765","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3766","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","e"
"3767","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3768","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3770","f","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3771","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3773","f","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3774","x","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3775","f","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3777","f","y","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3780","f","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3781","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3782","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3783","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3784","f","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3785","f","y","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3787","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3788","f","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3789","x","y","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3790","f","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","y","e"
"3791","f","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3792","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3793","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3794","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3795","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3796","f","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3797","x","s","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3798","f","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3800","f","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3801","f","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3802","x","s","g","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3804","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3805","x","f","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3806","f","f","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3807","x","s","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3808","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3809","f","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","p"
"3810","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3812","f","y","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3813","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3816","x","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3817","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3819","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3820","f","y","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3821","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3822","x","f","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3825","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3828","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3829","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3830","x","f","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3831","f","y","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3832","x","s","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3837","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3838","f","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","e"
"3839","f","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3840","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3841","x","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3842","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3844","x","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3846","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3848","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","e"
"3850","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3851","x","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3852","f","y","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3853","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3854","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3855","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3857","f","y","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3859","x","s","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3862","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3863","f","y","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3865","x","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3869","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3870","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3871","x","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3872","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3873","x","f","g","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3874","x","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3875","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3876","x","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3877","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3878","f","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3880","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3881","f","y","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3882","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3884","f","y","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3886","x","f","g","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3887","f","f","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3888","x","s","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3889","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3890","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3893","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3894","f","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3895","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3896","f","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3897","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3898","f","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3899","x","f","w","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3900","f","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3901","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","p"
"3902","x","y","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3903","f","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3904","x","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3905","x","f","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3906","x","y","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3907","x","y","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3908","x","f","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3909","f","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3911","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3912","x","y","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3913","f","f","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3915","x","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3917","f","y","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3918","x","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3919","f","y","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3920","f","y","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3921","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3922","f","y","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3923","f","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3925","f","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3926","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3927","x","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3928","f","f","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3929","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3931","f","y","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"3932","f","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3933","f","y","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3935","f","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3936","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3937","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3938","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3939","f","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3940","x","f","p","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3941","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3942","f","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3943","x","y","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3944","f","f","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3946","f","y","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","e"
"3947","x","f","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3948","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3949","f","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3950","x","y","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3951","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3952","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3954","x","s","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3955","x","f","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3958","f","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3961","x","y","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"3963","f","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"3964","x","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3965","f","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3966","x","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3968","f","y","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3969","x","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3970","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3971","x","y","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3972","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3973","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","e"
